No,Button (Row Column),State,Lookup Value,Byte Length,Remarks
1,None,Off,0xaa55000a22010000000000,11,
2,11,On,0xaa55000a22010000000400,11,Combinations are possible ie: aa55000a22010000002400 = 11 + 21,even with 3 but... device struggles to read it
3,12,On,0xaa55000a22010000000200,11,
4,13,On,0xaa55000a22010000000100,11,
5,21,On,0xaa55000a22010000002000,11,
6,22,On,0xaa55000a22010000001000,11,
7,23,On,0xaa55000a22010000000800,11,
8,31,On,0xaa55000a22010000010000,11,
9,32,On,0xaa55000a22010000008000,11,
10,33,On,0xaa55000a22010000004000,11,
11,41,On,0xaa55000a22010000080000,11,Guessed
12,42,On,0xaa55000a22010000040000,11,Guessed
13,43,On,0xaa55000a22010000020000,11,Guessed
14,51,On,0xaa55000a22010000400000,11,Guessed
15,52,On,0xaa55000a22010000200000,11,
16,53,On,0xaa55000a22010000100000,11,Guessed
17,61,On,0xaa55000a22010002000000,11,Guessed
18,62,On,0xaa55000a22010001000000,11,Guessed
19,63,On,0xaa55000a22010000800000,11,
20,71,On,0xaa55000a22010010000000,11,Guessed
21,72,On,0xaa55000a22010008000000,11,Guessed
22,73,On,0xaa55000a22010004000000,11,Guessed
23,81,On,0xaa55000a22010080000000,11,Guessed
24,82,On,0xaa55000a22010040000000,11,Guessed
25,83,On,0xaa55000a22010020000000,11,Guessed
26,91,On,0xaa55000a22010400000000,11,Guessed
27,92,On,0xaa55000a22010200000000,11,Guessed
28,93,On,0xaa55000a22010100000000,11,
29,Rocker,Up,0xaa550003220200d8,8,No data for returning
30,Rocker,Down,0xaa5500032202ffd9,8,No data for returning
